ID,Season,Phylum,Class,Order,Family,Genus,TrophicSpecies,FunctionalGroup,TrophicGroup,InIntList,Abundance (ind/m3),Biomass (mg C/m3),BodyMass (g),BodySize (mm),GowthRate (mm/day),Zone,Reference_pres,Reference_pres_link,Reference_traits,Reference_traits_link,Observation
87,Spring,Ciliophora,,,,,Ciliates_large,Ciliates,Zooplankton,No,NA,NA,NA,NA,NA,Meseta,Guinder_etal_2020,,,,Ciliates; > 30 µm
88,Spring,Ciliophora,,,,,Ciliates_medium,Ciliates,Zooplankton,No,NA,NA,NA,NA,NA,Meseta,Guinder_etal_2020,,,,Ciliates; 20-30 µm
89,Spring,Ciliophora,,,,,Ciliates_small,Ciliates,Zooplankton,No,NA,NA,NA,NA,NA,Meseta,Guinder_etal_2020,,,,Ciliates; < 20 µm
90,Spring,Ciliophora,Oligotrichea,Oligotrichida,Cyrtostrombidiidae,Cyrtostrombidium,Cyrtostrombidium_sp,Ciliates,Zooplankton,Yes,NA,NA,NA,NA,NA,Meseta,Guinder_etal_2020,,,,
91,Spring,Ciliophora,Oligotrichea,Oligotrichida,Tontoniidae,Laboea,Laboea_strobila,Ciliates,Zooplankton,Yes,NA,NA,NA,NA,NA,Meseta,Guinder_etal_2020,,,,
92,Spring,Ciliophora,Oligotrichea,Chorotrichida,Lohmanniellidae,Lohmanniella,Lohmanniella_sp,Ciliates,Zooplankton,Yes,NA,NA,NA,NA,NA,Meseta,Guinder_etal_2020,,,,
93,Spring,Ciliophora,Oligotrichea,Chorotrichida,Strobilidiidae,Strobilidium,Strobilidium_sp,Ciliates,Zooplankton,Yes,NA,NA,NA,NA,NA,Meseta,Guinder_etal_2020,,,,
94,Spring,Ciliophora,Oligotrichea,Chorotrichida,Strombidinopsidae,Strombidinopsis,Strombidinopsis_sp,Ciliates,Zooplankton,Yes,NA,NA,NA,NA,NA,Meseta,Guinder_etal_2020,,,,
95,Spring,Ciliophora,Oligotrichea,Oligotrichida,Strombidiidae,Strombidium,Strombidium_conicum,Ciliates,Zooplankton,Yes,NA,NA,NA,NA,NA,Meseta,Guinder_etal_2020,,,,
96,Spring,Ciliophora,Oligotrichea,Oligotrichida,Strombidiidae,Strombidium,Strombidium_sp,Ciliates,Zooplankton,Yes,NA,NA,NA,NA,NA,Meseta,Guinder_etal_2020,,,,
